Date,Delhi,Kolkata,Mumbai,Chennai
April 19 2018,74.07,76.77,81.92,76.84
April 18 2018,74.02,76.73,81.87,76.79
April 17 2018,74.02,76.73,81.87,76.79
April 16 2018,74.02,76.73,81.87,76.79
April 15 2018,73.98,76.69,81.83,76.75
April 14 2018,73.93,76.64,81.79,76.69
April 13 2018,73.91,76.62,81.77,76.67
April 12 2018,73.94,76.65,81.80,76.71
April 11 2018,73.98,76.69,81.83,76.75
April 10 2018,73.98,76.69,81.83,76.75
April 09 2018,73.99,76.70,81.84,76.76
April 08 2018,74.03,76.73,81.88,76.80
April 07 2018,74.00,76.71,81.85,76.77
April 06 2018,73.98,76.69,81.83,76.75
April 05 2018,73.98,76.69,81.83,76.75
April 04 2018,73.95,76.66,81.80,76.72
April 03 2018,73.95,76.66,81.80,76.72
April 02 2018,73.83,76.54,81.69,76.59
April 01 2018,73.73,76.44,81.59,76.48
March 31 2018,73.55,76.26,81.41,76.29
March 30 2018,73.31,76.03,81.17,76.04
March 29 2018,73.08,75.80,80.94,75.80
March 28 2018,72.90,75.63,80.77,75.61
March 27 2018,72.90,75.63,80.77,75.61
March 26 2018,72.79,75.52,80.66,75.49
March 25 2018,72.55,75.28,80.42,75.24
March 24 2018,72.38,75.11,80.25,75.06
March 23 2018,72.30,75.04,80.17,74.98
March 22 2018,72.26,75.00,80.13,74.94
March 21 2018,72.20,74.94,80.07,74.87
March 20 2018,72.20,74.94,80.07,74.87
March 19 2018,72.19,74.93,80.06,74.86
March 18 2018,72.20,74.94,80.07,74.87
March 17 2018,72.27,75.01,80.14,74.95
March 16 2018,72.37,75.10,80.24,75.05
March 15 2018,72.45,75.18,80.32,75.14
March 14 2018,72.47,75.20,80.34,75.16
March 13 2018,72.47,75.20,80.34,75.16
March 12 2018,72.45,75.18,80.32,75.14
March 11 2018,72.48,75.21,80.35,75.17
March 10 2018,72.46,75.19,80.33,75.15
March 09 2018,72.43,75.16,80.30,75.12
March 08 2018,72.39,75.12,80.26,75.07
March 07 2018,72.39,75.12,80.26,75.07
March 06 2018,72.39,75.12,80.26,75.07
March 05 2018,72.32,75.06,80.19,75.00
March 04 2018,72.26,75.00,80.13,74.94
March 03 2018,72.00,74.74,79.87,74.66
March 02 2018,71.75,74.50,79.63,74.40
March 01 2018,71.57,74.32,79.45,74.21
February 28 2018,71.51,74.26,79.39,74.15
February 27 2018,71.51,74.26,79.39,74.15
February 26 2018,71.53,74.28,79.41,74.17
February 25 2018,71.50,74.25,79.38,74.14
February 24 2018,71.52,74.27,79.40,74.16
February 23 2018,71.61,74.36,79.49,74.25
February 22 2018,71.70,74.45,79.58,74.35
February 21 2018,71.72,74.44,79.60,74.37
February 20 2018,71.73,74.45,79.61,74.38
February 19 2018,71.92,74.63,79.80,74.58
February 18 2018,72.07,74.78,79.94,74.74
February 17 2018,72.23,74.94,80.10,74.91
February 16 2018,72.52,75.22,80.39,75.21
February 15 2018,72.79,75.49,80.66,75.49
February 14 2018,72.94,75.64,80.81,75.65
February 13 2018,72.94,75.64,80.81,75.65
February 12 2018,73.01,75.70,80.87,75.73
February 11 2018,73.22,75.91,81.08,75.95
February 10 2018,73.33,76.02,81.19,76.06
February 09 2018,73.35,76.04,81.21,76.08
February 08 2018,73.37,76.06,81.23,76.11
February 07 2018,73.38,76.07,81.24,76.12
February 06 2018,73.38,76.07,81.24,76.12
February 05 2018,73.31,76.00,81.17,76.04
February 04 2018,73.16,75.85,81.02,75.88
February 03 2018,73.09,75.78,80.95,75.81
February 02 2018,73.10,75.79,80.96,75.82
February 01 2018,73.05,75.74,80.91,75.77
January 31 2018,72.92,75.62,80.79,75.63
January 30 2018,72.92,75.62,80.79,75.63
January 29 2018,72.84,75.54,80.71,75.55
January 28 2018,72.77,75.47,80.64,75.47
January 27 2018,72.72,75.42,80.59,75.42
January 26 2018,72.63,75.33,80.50,75.33
January 25 2018,72.49,75.19,80.36,75.18
January 24 2018,72.43,75.13,80.30,75.12
January 23 2018,72.38,75.09,80.25,75.06
January 22 2018,72.23,74.94,80.10,74.91
January 21 2018,72.08,74.79,79.95,74.75
January 20 2018,71.89,74.60,79.77,74.55
January 19 2018,71.70,74.42,79.58,74.35
January 18 2018,71.56,74.28,79.44,74.20
January 17 2018,71.39,74.11,79.27,74.02
January 16 2018,71.27,74.00,79.15,73.89
January 15 2018,71.18,73.91,79.06,73.80
January 14 2018,71.06,73.79,78.94,73.67
January 13 2018,70.92,73.65,78.81,73.53
January 12 2018,70.73,73.47,78.62,73.33
January 11 2018,70.66,73.40,78.55,73.25
January 10 2018,70.62,73.36,78.51,73.21
January 09 2018,70.53,73.27,78.42,73.12
January 08 2018,70.43,73.17,78.32,73.01
January 07 2018,70.28,73.02,78.17,72.85
January 06 2018,70.13,72.88,78.02,72.69
January 05 2018,69.99,72.74,77.89,72.55
January 04 2018,69.97,72.72,77.87,72.53
January 03 2018,69.97,72.72,77.87,72.53
January 02 2018,69.97,72.72,77.87,72.53
January 01 2018,69.97,72.72,77.87,72.53
December 31 2017,69.97,72.72,77.87,72.53
December 30 2017,69.94,72.69,77.84,72.49
December 29 2017,69.90,72.65,77.80,72.45
December 28 2017,69.81,72.56,77.71,72.36
December 27 2017,69.72,72.47,77.62,72.26
December 26 2017,69.63,72.39,77.53,72.17
December 25 2017,69.65,72.40,77.55,72.19
December 24 2017,69.56,72.32,77.46,72.09
December 23 2017,69.58,72.34,77.48,72.12
December 22 2017,69.50,72.26,77.40,72.03
December 21 2017,69.42,72.18,77.32,71.95
December 20 2017,69.35,72.11,77.25,71.87
December 19 2017,69.27,72.03,77.17,71.79
December 18 2017,69.19,71.95,77.06,71.70
December 17 2017,69.15,71.91,76.99,71.66
December 16 2017,69.13,71.89,76.88,71.64
December 15 2017,69.10,71.86,76.78,71.61
December 14 2017,69.07,71.84,76.69,71.58
December 13 2017,69.07,71.84,76.66,71.58
December 12 2017,69.09,71.85,76.64,71.60
December 11 2017,69.12,71.88,76.62,71.63
December 10 2017,69.15,71.91,76.61,71.66
December 09 2017,69.18,71.94,76.62,71.69
December 08 2017,69.19,71.95,76.61,71.70
December 07 2017,69.23,71.99,76.61,71.75
December 06 2017,69.24,72.00,76.60,71.76
December 05 2017,69.25,72.01,76.59,71.77
December 04 2017,69.23,71.99,76.56,71.75
December 03 2017,69.23,71.99,76.54,71.75
December 02 2017,69.22,71.98,76.52,71.74
December 01 2017,69.22,71.98,76.52,71.74
November 30 2017,69.24,72.00,76.52,71.76
November 29 2017,69.26,72.02,76.52,71.78
November 28 2017,69.26,72.02,76.52,71.78
November 27 2017,69.28,72.04,76.52,71.80
November 26 2017,69.32,72.08,76.52,71.84
November 25 2017,69.36,72.12,76.52,71.88
November 24 2017,69.41,72.17,76.52,71.94
November 23 2017,69.43,72.19,76.54,71.96
November 22 2017,69.48,72.24,76.58,72.01
November 21 2017,69.53,72.29,76.63,72.06
November 20 2017,69.51,72.27,76.61,72.04
November 19 2017,69.54,72.30,76.64,72.07
November 18 2017,69.57,72.33,76.67,72.10
November 17 2017,69.61,72.37,76.71,72.15
November 16 2017,69.65,72.40,76.75,72.19
November 15 2017,69.68,72.43,76.78,72.22
November 14 2017,69.73,72.48,76.83,72.27
November 13 2017,69.78,72.53,76.88,72.33
November 12 2017,69.78,72.53,76.88,72.33
November 11 2017,69.81,72.56,76.91,72.36
November 10 2017,69.85,72.60,76.95,72.40
November 09 2017,69.85,72.60,76.95,72.40
November 08 2017,69.80,72.55,76.90,72.35
November 07 2017,69.80,72.55,76.90,72.35
November 06 2017,69.69,72.44,76.79,72.23
November 05 2017,69.55,72.31,76.65,72.08
November 04 2017,69.47,72.23,76.57,72.00
November 03 2017,69.34,72.10,76.45,71.86
November 02 2017,69.25,72.01,76.36,71.77
November 01 2017,69.14,71.90,76.25,71.65
October 31 2017,69.13,71.90,76.24,71.64
October 30 2017,69.07,71.84,76.18,71.58
October 29 2017,68.92,71.69,76.03,71.42
October 28 2017,68.84,71.61,75.95,71.34
October 27 2017,68.72,71.49,75.83,71.21
October 26 2017,68.65,71.43,75.76,71.14
October 25 2017,68.62,71.40,75.73,71.10
October 24 2017,68.60,71.38,75.71,71.08
October 23 2017,68.60,71.38,75.71,71.08
October 22 2017,68.58,71.36,75.69,71.06
October 21 2017,68.44,71.22,75.56,70.92
October 20 2017,68.40,71.18,75.52,70.87
October 19 2017,68.33,71.11,75.45,70.80
October 18 2017,68.26,71.04,75.38,70.73
October 17 2017,68.26,71.04,75.38,70.73
October 16 2017,68.29,71.07,75.41,70.76
October 15 2017,68.33,71.11,75.45,70.80
October 14 2017,68.38,71.16,75.50,70.85
October 13 2017,68.43,71.21,75.55,70.90
October 13 2017,68.45,71.23,75.57,70.93
October 11 2017,68.48,71.26,75.59,70.96
October 10 2017,68.45,71.23,77.58,70.93
October 09 2017,68.45,71.23,77.58,70.93
October 08 2017,68.39,71.17,77.52,70.86
October 07 2017,68.35,71.13,77.48,70.82
October 06 2017,68.36,71.14,77.49,70.83
October 05 2017,68.38,71.16,77.51,70.85
October 04 2017,68.38,71.16,77.51,70.85
October 03 2017,70.88,73.62,79.99,73.48
October 02 2017,70.83,73.57,79.94,73.43
October 01 2017,70.76,73.50,79.87,73.36
September 30 2017,70.66,73.40,79.77,73.25
September 29 2017,70.56,73.30,79.67,73.15
September 28 2017,70.46,73.20,79.57,73.04
September 27 2017,70.41,73.15,79.52,72.99
September 26 2017,70.41,73.15,79.52,72.99
September 25 2017,70.41,73.15,79.52,72.99
September 24 2017,70.39,73.13,79.50,72.97
September 23 2017,70.42,73.16,79.53,73.00
September 22 2017,70.47,73.21,79.58,73.05
September 21 2017,70.52,73.26,79.63,73.10
September 20 2017,70.52,73.26,79.63,73.10
September 19 2017,70.52,73.26,79.63,73.10
September 18 2017,70.51,73.25,79.62,73.09
September 17 2017,70.51,73.25,79.62,73.09
September 16 2017,70.48,73.22,79.59,73.06
September 15 2017,70.43,73.17,79.54,73.01
September 14 2017,70.39,73.13,79.50,72.97
September 13 2017,70.38,73.12,79.48,72.95
September 12 2017,70.38,73.12,79.48,72.95
September 11 2017,70.30,73.05,79.41,72.87
September 10 2017,70.17,72.91,79.28,72.73
September 09 2017,70.03,72.78,79.14,72.58
September 08 2017,69.89,72.64,79.00,72.44
September 07 2017,69.80,72.55,78.92,72.34
September 06 2017,69.71,72.46,78.82,72.25
September 05 2017,69.71,72.46,78.82,72.25
September 04 2017,69.66,72.41,78.78,72.20
September 03 2017,69.55,72.30,78.67,72.08
September 02 2017,69.43,72.18,78.54,71.95
September 01 2017,69.26,72.02,78.38,71.78
August 31 2017,69.15,71.92,78.28,71.66
August 30 2017,69.12,71.88,78.24,71.62
August 29 2017,69.12,71.88,78.24,71.62
August 28 2017,69.09,71.86,78.22,71.60
August 27 2017,69.06,71.82,78.18,71.56
August 26 2017,69.02,71.78,78.14,71.52
August 25 2017,69.01,71.77,78.13,71.51
August 24 2017,68.88,71.64,78.00,71.37
August 23 2017,68.73,71.50,77.86,71.22
August 22 2017,68.67,71.44,77.79,71.15
August 21 2017,68.54,71.31,77.66,71.01
August 20 2017,68.38,71.16,77.51,70.85
August 19 2017,68.37,71.14,77.50,70.83
August 18 2017,68.29,71.07,77.42,70.76
August 17 2017,68.24,71.02,77.37,70.70
August 16 2017,68.14,70.92,77.27,70.59
August 15 2017,68.08,70.86,77.21,70.53
August 14 2017,67.95,70.74,77.09,70.40
August 13 2017,67.76,70.55,76.89,70.19
August 12 2017,67.50,70.29,76.64,69.92
August 11 2017,67.27,70.07,76.41,69.68
August 10 2017,66.96,69.78,76.10,69.35
August 09 2017,66.81,69.66,75.96,69.20
August 08 2017,66.75,69.61,75.89,69.13
August 07 2017,66.66,69.54,75.80,69.03
August 06 2017,66.51,69.43,75.66,68.88
August 05 2017,66.28,69.24,75.43,68.64
August 04 2017,66.00,69.03,75.15,68.34
August 03 2017,65.69,68.78,74.85,68.02
August 02 2017,65.47,68.61,74.63,67.78
August 01 2017,65.40,68.56,74.56,67.71
July 31 2017,65.26,68.45,74.58,67.78
July 30 2017,65.00,68.24,74.33,67.51
July 29 2017,64.87,68.14,74.20,67.37
July 28 2017,64.69,68.00,74.02,67.18
July 27 2017,64.59,67.92,73.92,67.07
July 26 2017,64.57,67.91,73.91,67.06
July 25 2017,64.57,67.91,73.90,67.05
July 24 2017,64.53,67.88,73.87,67.01
July 23 2017,64.40,67.77,73.74,66.88
July 22 2017,64.30,67.69,73.63,66.77
July 21 2017,64.28,67.68,73.61,66.75
July 20 2017,64.25,67.66,73.59,66.72
July 19 2017,64.21,67.62,73.54,66.67
July 18 2017,64.21,67.62,73.54,66.67
July 17 2017,64.15,67.58,73.49,66.61
July 16 2017,64.11,67.55,73.45,66.57
July 15 2017,64.03,67.48,73.37,66.49
July 14 2017,63.89,67.37,73.23,66.34
July 13 2017,63.91,67.38,73.25,66.36
July 12 2017,63.93,67.40,73.27,66.38
July 11 2017,63.93,67.40,73.27,66.38
July 10 2017,63.83,66.73,75.04,66.25
July 09 2017,63.65,66.58,74.86,66.05
July 08 2017,63.46,66.44,74.67,65.86
July 07 2017,63.33,63.33,74.54,65.72
July 06 2017,63.19,66.23,74.41,65.58
July 05 2017,63.08,66.14,74.30,65.46
July 04 2017,63.08,66.14,74.30,65.46
July 03 2017,63.13,66.18,74.35,65.51
July 02 2017,63.06,66.12,74.28,65.44
July 01 2017,63.09,66.14,74.30,65.46
June 30 2017,63.31,66.32,74.56,65.74
June 29 2017,63.47,66.45,74.71,65.90
June 28 2017,63.46,66.45,74.71,65.90
June 27 2017,63.46,66.44,74.71,65.89
June 26 2017,63.55,66.51,74.79,65.98
June 25 2017,63.71,66.64,74.95,66.15
June 24 2017,63.99,66.86,75.23,66.45
June 23 2017,64.23,67.04,75.46,66.70
June 22 2017,64.44,67.21,75.68,66.93
June 21 2017,64.55,67.30,75.79,67.04
June 20 2017,64.55,67.30,75.78,67.04
June 19 2017,64.65,67.37,75.88,67.14
June 18 2017,64.91,67.58,76.14,67.42
June 17 2017,65.23,67.84,76.46,67.76
June 16 2017,65.48,68.03,76.70,68.02
June 01 2017,66.91,69.52,78.44,69.93
May 16 2017,65.32,68.21,76.55,68.26
May 16 2017,68.09,70.68,74.53,71.17
May 01 2017,68.09,70.68,77.46,71.17
April 16 2017,68.07,70.66,77.45,71.16
April 01 2017,66.29,68.97,72.66,69.28
January 16 2017,71.14,73.66,77.46,74.43
January 02 2017,70.60,73.13,76.91,70.07
December 17 2016,68.94,71.50,75.27,68.41
December 01 2016,66.10,68.81,72.46,65.58
November 16 2016,65.93,68.67,72.29,65.41
November 06 2016,67.62,70.24,74.00,67.13
October 16 2016,66.45,69.08,72.83,65.96
October 05 2016,64.72,67.72,71.12,64.24
October 01 2016,64.58,67.61,71.00,64.13
September 16 2016,64.21,67.42,70.64,63.76
September 01 2016,63.47,66.84,68.40,63.02
August 16 2016,60.09,64.18,65.04,59.65
August 01 2016,61.09,64.97,65.70,60.65
July 16 2016,62.51,66.03,67.11,62.00
July 01 2016,64.76,67.79,69.32,64.24
June 16 2016,65.65,68.50,70.23,65.09
June 01 2016,65.60,68.46,70.18,65.04
May 17 2016,63.02,66.44,66.12,62.47
May 01 2016,62.19,65.73,66.71,61.64
April 16 2016,61.13,64.90,65.63,60.58
April 09 2016,61.87,65.48,66.37,61.32
April 05 2016,61.87,65.48,67.96,61.32
March 17 2016,59.68,63.76,65.79,59.13
March 10 2016,56.61,61.35,62.75,56.07
March 01 2016,56.61,62.32,62.75,56.08
February 18 2016,59.63,64.64,65.73,59.10
February 01 2016,59.95,64.84,66.05,59.42
January 19 2016,59.99,64.87,66.09,59.45
January 16 2016,59.03,64.87,66.09,59.45
January 01 2016,59.35,65.12,66.40,59.77
December 16 2015,59.98,65.53,67.04,60.28
December 01 2015,60.48,65.93,67.55,60.80
November 16 2015,61.06,66.39,68.13,61.38
November 01 2015,60.70,66.11,67.77,61.02
September 01 2015,61.20,66.50,68.25,61.46
August 16 2015,63.20,68.10,68.24,63.49
August 01 2015,64.47,69.15,69.51,64.77
July 16 2015,66.90,71.57,71.97,67.29
July 01 2015,66.62,74.09,74.52,69.84
June 16 2015,66.93,74.42,74.78,70.12
May 16 2015,66.29,73.76,74.12,69.45
May 01 2015,63.16,70.44,70.84,66.08
April 16 2015,59.20,66.81,66.69,61.90
April 02 2015,60.00,67.48,67.53,62.75
March 01 2015,60.49,67.92,68.14,63.31
February 16 2015,57.31,65.29,64.81,59.85
February 04 2015,56.49,64.60,63.90,58.88
January 17 2015,58.91,66.64,66.36,61.38
December 16 2014,61.33,68.65,68.86,63.94
December 01 2014,63.33,70.73,70.95,66.05
November 01 2014,64.24,71.68,71.91,67.01
October 15 2014,66.65,74.21,74.46,69.59
October 01 2014,67.86,75.46,75.73,70.87
August 31 2014,68.51,76.14,76.41,71.55
August 15 2014,70.33,78.03,78.32,73.47
August 01 2014,72.51,80.30,80.60,75.78
July 01 2014,73.60,81.43,81.75,76.93
June 25 2014,71.56,79.42,80.16,74.76
June 07 2014,71.51,79.36,80.11,74.71
June 01 2014,71.51,79.36,80.11,74.71